"strain_id","name","type","rating"
3534,"100-og","hybrid","4"
3535,"1024","sativa","4.4"
3536,"13-dawgs","hybrid","4.2"
3537,"24k-gold","hybrid","4.6"
3538,"3-kings","hybrid","4.4"
3539,"303-og","indica","4.2"
3540,"3d-cbd","sativa","4.6"
3541,"3x-crazy","indica","4.4"
3542,"501st-og","hybrid","4.5"
3543,"5th-element","indica","4.4"
3544,"707-headband","hybrid","4.3"
3545,"8-ball-kush","indica","4.3"
3546,"818-og","indica","4.7"
3547,"831-og","indica","5"
3548,"9-pound-hammer","indica","4.5"
3549,"91-krypt","indica","4.7"
3550,"a-10","indica","3.8"
3551,"a-dub","hybrid","4.4"
3552,"a-train","hybrid","4.1"
3553,"acdc","hybrid","4.5"
3554,"ak-47","hybrid","4.2"
3555,"ak-48","hybrid","4"
3556,"aberdeen","hybrid","4.3"
3557,"abusive-og","indica","4.5"
3558,"acapulco-gold","sativa","4.5"
3559,"ace-killer-og","indica","4.8"
3560,"ace-of-spades","indica","4.1"
3561,"aceh","sativa","4.4"
3562,"acid-dough","sativa","5"
3563,"afcrack","hybrid","3.4"
3564,"afghan-big-bud","indica","4"
3565,"afghan-cow","sativa","4.3"
3566,"afghan-diesel","hybrid","3.7"
3567,"afghan-hawaiian","indica","4.1"
3568,"afghan-haze","hybrid","4.3"
3569,"afghan-kush","indica","4.1"
3570,"afghan-skunk","indica","4.3"
3571,"afghan-sour-kush","indica","4.5"
3572,"afghani","indica","4.3"
3573,"afghani-cbd","indica","4.6"
3574,"afghanica","hybrid","4.1"
3575,"afghanimal","indica","5"
3576,"afghooey","indica","4.1"
3577,"afgoo","indica","4.1"
3578,"afgooey","indica","4.3"
3579,"afkansastan","indica","3.8"
3580,"afpak","hybrid","4.2"
3581,"african","sativa","3.9"
3582,"afrikaner","sativa","0"
3583,"afternoon-delight","hybrid","4.8"
3584,"afwreck","hybrid","4.2"
3585,"agent-orange","hybrid","4.2"
3586,"air-jordan-og","indica","4.5"
3587,"alaska","sativa","4.6"
3588,"alaskan-ice","sativa","4.4"
3589,"alaskan-thunder-fuck","sativa","4.4"
3590,"albert-walker","hybrid","4.7"
3591,"alchemy","hybrid","4.8"
3592,"alice-in-wonderland","sativa","4.5"
3593,"alien-abduction","hybrid","3.8"
3594,"alien-apparition","hybrid","4"
3595,"alien-asshat","hybrid","4.8"
3596,"alien-bubba","indica","5"
3597,"alien-dawg","indica","4.3"
3598,"alien-dutchess","sativa","4.2"
3599,"alien-hallucination","hybrid","4.1"
3600,"alien-kush","indica","4.2"
3601,"alien-og","hybrid","4.5"
3602,"alien-reunion","hybrid","4.9"
3603,"alien-rift","indica","4.6"
3604,"alien-rock-candy","hybrid","4.7"
3605,"alien-sour-apple","hybrid","4.6"
3606,"alien-stardawg","sativa","4.4"
3607,"alien-technology","indica","4.5"
3608,"aliens-on-moonshine","indica","4.5"
3609,"allen-iverson-og","indica","5"
3610,"allen-wrench","sativa","4.3"
3611,"allkush","indica","5"
3612,"aloha","sativa","4.2"
3613,"alohaberry","hybrid","4.2"
3614,"alpha-blue","sativa","4.5"
3615,"alpha-cow","sativa","5"
3616,"alpha-express","sativa","4.7"
3617,"alpha-og","hybrid","4.6"
3618,"alpine-star","indica","4.2"
3619,"ambrosia","hybrid","4.4"
3620,"american-dream","hybrid","4.7"
3621,"american-kush","indica","4.8"
3622,"americano","indica","4.6"
3623,"amethyst","hybrid","3.9"
3624,"amethyst-bud","hybrid","4.2"
3625,"amnesia","sativa","4.3"
3626,"amnesia-ganja-haze","sativa","5"
3627,"amnesia-haze","sativa","4.3"
3628,"ancient-kush","indica","4.6"
3629,"ancient-og","indica","4.6"
3630,"anesthesia","indica","4.1"
3631,"angel-og","indica","5"
3632,"animal-cookies","hybrid","4.5"
3633,"anonymous-og","indica","5"
3634,"anubis","indica","5"
3635,"apollo-11","hybrid","4.4"
3636,"apollo-13","hybrid","4.4"
3637,"appalachia","hybrid","4.8"
3638,"appalachian-power","sativa","4.3"
3639,"apple-jack","hybrid","3.6"
3640,"apple-kush","hybrid","4.6"
3641,"appleberry","indica","4.6"
3642,"arabian-gold","sativa","4.1"
3643,"arctic-sun","hybrid","4.3"
3644,"area-51","hybrid","4.4"
3645,"argyle","indica","3.9"
3646,"armageddon","hybrid","4"
3647,"armagnac","hybrid","4.2"
3648,"ash","hybrid","4.5"
3649,"asian-fantasy","sativa","4.4"
3650,"aspen-og","hybrid","4.1"
3651,"astroboy","sativa","4.5"
3652,"athabasca","indica","4.6"
3653,"atomic","hybrid","4.5"
3654,"atomic-northern-lights","hybrid","4.2"
3655,"atomical-haze","sativa","4.4"
3656,"aurora-borealis","indica","4.2"
3657,"aurora-indica","indica","4.4"
3658,"avalon","hybrid","3.6"
3659,"ayahuasca-purple","indica","4.4"
3660,"azure-haze","hybrid","4.4"
3661,"b-52","indica","4.1"
3662,"bc-big-bud","hybrid","4.5"
3663,"bc-roadkill","hybrid","4.5"
3664,"bc-sweet-tooth","indica","4.3"
3665,"bog-bubble","hybrid","4.4"
3666,"bakerstreet","indica","3.7"
3667,"banana-candy","indica","4.2"
3668,"banana-diesel","hybrid","4.4"
3669,"banana-kush","hybrid","4.3"
3670,"banana-og","hybrid","4.4"
3671,"banana-peel","hybrid","4.7"
3672,"bandana","hybrid","4.2"
3673,"bangi-haze","sativa","0"
3674,"barbara-bud","indica","3.6"
3675,"batgirl","hybrid","5"
3676,"batman-og","indica","4.4"
3677,"bay-11","sativa","4.5"
3678,"bay-dream","sativa","4.3"
3679,"bear-dance","hybrid","4.8"
3680,"beast-mode-og","hybrid","4.4"
3681,"bedica","indica","4.3"
3682,"bediol","sativa","4.7"
3683,"bell-ringer","indica","5"
3684,"belladonna","hybrid","4"
3685,"berkeley","sativa","4.3"
3686,"berry-bomb","hybrid","4.2"
3687,"berry-noir","indica","4.4"
3688,"berry-white","indica","4.4"
3689,"bertberry-cheesecake","sativa","5"
3690,"bettie-page","hybrid","4.2"
3691,"bianca","hybrid","4.2"
3692,"biddy-early","hybrid","4.2"
3693,"big-bang","indica","4.1"
3694,"big-bud","indica","3.9"
3695,"big-budda-cheese","hybrid","4.2"
3696,"big-kush","hybrid","4.7"
3697,"big-mac","indica","5"
3698,"big-skunk-korean","hybrid","4"
3699,"big-sur-holy-bud","sativa","4"
3700,"big-white","indica","4.2"
3701,"big-wreck","indica","4.1"
3702,"bio-diesel","hybrid","4.4"
3703,"bio-diesel","hybrid","4.4"
3704,"bio-jesus","hybrid","4.6"
3705,"biochem","indica","4.4"
3706,"birds-eye","sativa","5"
3707,"black-afghan","indica","4.6"
3708,"black-betty","hybrid","4.5"
3709,"black-bubba","indica","4.5"
3710,"black-cherry-cheesecake","hybrid","4.5"
3711,"black-cherry-og","indica","4.4"
3712,"black-cherry-pie","hybrid","5"
3713,"black-cherry-soda","hybrid","4.3"
3714,"black-dhalia","hybrid","4"
3715,"black-diamond","indica","4.4"
3716,"black-diesel","sativa","4.1"
3717,"black-domina","indica","4.2"
3718,"black-ice","indica","4.1"
3719,"black-jack","hybrid","4.4"
3720,"black-label-kush","indica","4.1"
3721,"black-larry-bird","indica","4"
3722,"black-lime-special-reserve","indica","4.5"
3723,"black-magic","hybrid","4"
3724,"black-magic-kush","indica","4.2"
3725,"black-mamba","indica","4.6"
3726,"black-russian","indica","4.3"
3727,"black-velvet","hybrid","3.9"
3728,"black-widow","hybrid","4.1"
3729,"blackberry","hybrid","4.2"
3730,"blackberry-bubble","indica","4.7"
3731,"blackberry-cream","indica","4.8"
3732,"blackberry-diesel","sativa","4.1"
3733,"blackberry-dream","hybrid","4.2"
3734,"blackberry-hashplant","indica","3.7"
3735,"blackberry-haze","sativa","4.5"
3736,"blackberry-kush","indica","4.3"
3737,"blackberry-lime-haze","sativa","4.7"
3738,"blackberry-pie","hybrid","4.7"
3739,"blackberry-rhino","indica","4.3"
3740,"blackberry-trainwreck","hybrid","4.3"
3741,"blackberry-x-blueberry","indica","4.3"
3742,"blackwater","indica","4.6"
3743,"blaze","sativa","4.3"
3744,"blissful-wizard","hybrid","4.8"
3745,"blockhead","hybrid","4.2"
3746,"blowfish","hybrid","4.2"
3747,"blucifer","sativa","4.3"
3748,"blue-afghani","indica","4.4"
3749,"blue-alien","indica","4.5"
3750,"blue-bastard","indica","3.8"
3751,"blue-bayou","sativa","2.8"
3752,"blue-blood","indica","4.2"
3753,"blue-buddha","indica","4.9"
3754,"blue-cheese","indica","4.3"
3755,"blue-cinex","hybrid","4.7"
3756,"blue-cookies","hybrid","4.7"
3757,"blue-crack","hybrid","4.2"
3758,"blue-diamond","indica","4.4"
3759,"blue-diesel","hybrid","4.4"
3760,"blue-dot","sativa","4.7"
3761,"blue-dragon","hybrid","4.4"
3762,"blue-dream","hybrid","4.4"
3763,"blue-dynamite","indica","4.3"
3764,"blue-frost","hybrid","4.5"
3765,"blue-god","indica","4.7"
3766,"blue-goo","hybrid","4.1"
3767,"blue-hash","hybrid","4.4"
3768,"blue-hawaiian","hybrid","4.3"
3769,"blue-haze","hybrid","4.3"
3770,"blue-heron","hybrid","4.7"
3771,"blue-ivy","hybrid","4.4"
3772,"blue-jay-way","hybrid","4.5"
3773,"blue-knight","indica","4.7"
3774,"blue-kripple","indica","3.4"
3775,"blue-lights","indica","4.5"
3776,"blue-magic","sativa","4.6"
3777,"blue-magoo","hybrid","4.5"
3778,"blue-monster","indica","4.7"
3779,"blue-moonshine","indica","4.2"
3780,"blue-mountain-fire","sativa","4"
3781,"blue-mystic","indica","4.2"
3782,"blue-nightmare","hybrid","4.7"
3783,"blue-og","hybrid","4.3"
3784,"blue-ox","indica","4.5"
3785,"blue-persuasion","hybrid","4.1"
3786,"blue-power","indica","4.7"
3787,"blue-rhino","hybrid","4.3"
3788,"blue-satellite","sativa","3.9"
3789,"blue-sky","hybrid","4.6"
3790,"blue-steel","indica","4.3"
3791,"blue-thai","hybrid","3.7"
3792,"blue-train","hybrid","4.4"
3793,"blue-velvet","hybrid","4.3"
3794,"blue-venom","hybrid","4.7"
3795,"blue-widow","hybrid","4.2"
3796,"blue-wonder","hybrid","5"
3797,"blue-wreck","hybrid","4.7"
3798,"blue-zombie","indica","4.7"
3799,"blueberry","indica","4.3"
3800,"blueberry-blast","sativa","4.4"
3801,"blueberry-cheesecake","hybrid","4.3"
3802,"blueberry-diesel","hybrid","4.2"
3803,"blueberry-dream","sativa","4.6"
3804,"blueberry-essence","hybrid","4.5"
3805,"blueberry-haze","hybrid","4.2"
3806,"blueberry-haze","hybrid","4.2"
3807,"blueberry-headband","hybrid","4.3"
3808,"blueberry-jack","hybrid","4.3"
3809,"blueberry-kush","indica","4.3"
3810,"blueberry-og","hybrid","4.6"
3811,"blueberry-pie","hybrid","4.4"
3812,"blueberry-skunk","indica","4.3"
3813,"blueberry-space-cake","indica","5"
3814,"blueberry-trainwreck","hybrid","4.4"
3815,"blueberry-waltz","indica","4.8"
3816,"blueberry-yum-yum","hybrid","4.6"
3817,"blues","hybrid","4"
3818,"bluniverse","hybrid","4.7"
3819,"bob-saget","sativa","4.8"
3820,"boysenberry","hybrid","3.6"
3821,"brain-candy","hybrid","5"
3822,"brains-damage","indica","4.4"
3823,"brainstorm-haze","sativa","3.9"
3824,"brainwreck","hybrid","4.7"
3825,"brand-x","indica","5"
3826,"brandywine","indica","4.5"
3827,"brazil-amazonia","sativa","4.5"
3828,"brian-berry-cough","hybrid","4.5"
3829,"bright-moments","hybrid","0"
3830,"broke-diesel","hybrid","5"
3831,"bronze-whaler","indica","0"
3832,"bruce-banner","hybrid","4.6"
3833,"bubba-berry","indica","5"
3834,"bubba-doja","indica","4"
3835,"bubba-fresh","hybrid","5"
3836,"bubba-hash","indica","0"
3837,"bubba-kush","indica","4.3"
3838,"bubba-og","indica","4.3"
3839,"bubble-cheese","indica","3.8"
3840,"bubble-gum","hybrid","4.1"
3841,"bubbleberry","hybrid","4.4"
3842,"bubblegum-kush","indica","4.3"
3843,"bubblegun","hybrid","3.8"
3844,"bubblicious","hybrid","4.3"
3845,"buckeye-purple","indica","4.3"
3846,"buddha-haze","sativa","4.6"
3847,"buddha-tahoe","indica","4.5"
3848,"buffalo-bill","sativa","4.2"
3849,"bugatti-og","hybrid","4.6"
3850,"burkle","indica","4.9"
3851,"burmese-kush","hybrid","4.2"
3852,"butter-og","indica","4.3"
3853,"butterscotch","indica","4.3"
3854,"c13-haze","sativa","4.4"
3855,"c3po","hybrid","4.3"
3856,"c4","hybrid","4.5"
3857,"cbd-critical-cure","indica","4.6"
3858,"cbd-critical-mass","indica","4.6"
3859,"cbd-kush","hybrid","4.5"
3860,"cbd-lilly","sativa","4.5"
3861,"cbd-mango-haze","sativa","4.4"
3862,"cbd-ox","indica","5"
3863,"cbd-rich-blessing","sativa","0"
3864,"cbd-shark","indica","4.5"
3865,"chr-super-og","indica","4.3"
3866,"cabbage-patch","hybrid","4.4"
3867,"cactus","indica","4.6"
3868,"cactus-cooler","hybrid","4.5"
3869,"cadillac-purple","indica","4.2"
3870,"cali-gold","hybrid","4.5"
3871,"cali-kush","hybrid","4.2"
3872,"california-grapefruit","indica","4.4"
3873,"california-hash-plant","indica","5"
3874,"california-orange","hybrid","4.3"
3875,"california-sour","hybrid","3.6"
3876,"cambodian","sativa","4.2"
3877,"cambodian-haze","sativa","4.6"
3878,"candy-cane","indica","4.4"
3879,"candy-jack","sativa","4.3"
3880,"candyland","sativa","4.6"
3881,"canna-tsu","hybrid","4.5"
3882,"cannasutra","indica","4.8"
3883,"cannadential","hybrid","4.1"
3884,"cannalope-haze","sativa","4.2"
3885,"cannalope-haze","sativa","4.2"
3886,"cannalope-kush","hybrid","4.5"
3887,"capers","indica","4.6"
3888,"caramel-candy-kush","hybrid","4.6"
3889,"caramel-kona-coffee-kush","indica","4.5"
3890,"caramelicious","hybrid","4.2"
3891,"caramella","indica","4.8"
3892,"caramelo","sativa","4.1"
3893,"carnival","sativa","4.3"
3894,"cascadia-kush","indica","4.6"
3895,"casey-jones","sativa","4.2"
3896,"casper-og","indica","5"
3897,"cat-piss","sativa","3.9"
3898,"cataract-kush","hybrid","4.4"
3899,"catfish","sativa","4.8"
3900,"central-american","sativa","4"
3901,"cerebro-haze","sativa","4.2"
3902,"charlie-sheen","hybrid","4.6"
3903,"charlottes-web","sativa","4.5"
3904,"cheese","hybrid","4.1"
3905,"cheese-candy","hybrid","4.3"
3906,"cheese-quake","hybrid","4.3"
3907,"cheeseburger","hybrid","3.3"
3908,"cheesewreck","hybrid","4.3"
3909,"chem-jack","hybrid","5"
3910,"chem-scout","indica","4.5"
3911,"chem-valley-kush","hybrid","4.3"
3912,"chemdawg","hybrid","4.3"
3913,"chemmy-jones","hybrid","4.7"
3914,"chemo","indica","4.4"
3915,"chernobyl","hybrid","4.4"
3916,"cherries-jubilee","indica","4.4"
3917,"cherry-ak-47","hybrid","4.4"
3918,"cherry-bomb","hybrid","4.3"
3919,"cherry-cookies","hybrid","4.6"
3920,"cherry-cream-pie","hybrid","4.3"
3921,"cherry-diesel","hybrid","4.7"
3922,"cherry-durban-poison","hybrid","4.3"
3923,"cherry-fire","hybrid","0"
3924,"cherry-grapefruit","hybrid","4.3"
3925,"cherry-kola","indica","4.7"
3926,"cherry-kush","hybrid","4.2"
3927,"cherry-limeade","hybrid","4.3"
3928,"cherry-og","hybrid","4.2"
3929,"cherry-pie","hybrid","4.4"
3930,"cherry-skunk","hybrid","4.4"
3931,"cherry-slyder","hybrid","4.7"
3932,"chiesel","hybrid","4.4"
3933,"chiesel","hybrid","4.4"
3934,"china-yunnan","indica","4.3"
3935,"chiquita-banana","hybrid","4.9"
3936,"chocolate-chunk","indica","4.2"
3937,"chocolate-diesel","sativa","4.6"
3938,"chocolate-fondue","sativa","4.6"
3939,"chocolate-hashberry","hybrid","4.5"
3940,"chocolate-kush","indica","4.5"
3941,"chocolate-meringue","indica","0"
3942,"chocolate-og","indica","4.8"
3943,"chocolate-rain","hybrid","5"
3944,"chocolate-thai","sativa","4.2"
3945,"chocolate-thunder","sativa","4.1"
3946,"chocolate-tonic","hybrid","0"
3947,"chocolope","sativa","4.3"
3948,"chocolope-kush","hybrid","4"
3949,"chronic","hybrid","4.4"
3950,"chronic-thunder","indica","4.5"
3951,"chupacabra","hybrid","4.8"
3952,"church-og","indica","4.1"
3953,"cinderella-99","hybrid","4.4"
3954,"cinex","sativa","4.3"
3955,"cirrus","sativa","5"
3956,"citrix","hybrid","4.3"
3957,"citrus-kush","hybrid","4.2"
3958,"citrus-punch","sativa","4.2"
3959,"citrus-sap","hybrid","4.4"
3960,"clementine","sativa","4.3"
3961,"clockwork-orange","hybrid","5"
3962,"club-69","indica","5"
3963,"cluster-bomb","hybrid","4.3"
3964,"cold-creek-kush","hybrid","4.3"
3965,"colombian-gold","sativa","4.5"
3966,"colombian-mojito","sativa","5"
3967,"colorado-bubba","indica","4.6"
3968,"colorado-clementines","indica","4.5"
3969,"commerce-city-kush","indica","4.3"
3970,"confidential-cheese","indica","4.5"
3971,"congo","sativa","5"
3972,"connie-chung","hybrid","4.2"
3973,"conspiracy-kush","indica","4.6"
3974,"cookie-dough","hybrid","4.5"
3975,"cookie-jar","hybrid","4.6"
3976,"cookie-monster","indica","4.5"
3977,"cookie-wreck","hybrid","4.6"
3978,"cookies-kush","indica","4.5"
3979,"copper-kush","indica","3.9"
3980,"corleone-kush","indica","4.6"
3981,"cornbread","indica","4.6"
3982,"cosmic-collision","sativa","4.2"
3983,"cotton-candy-kush","hybrid","4.3"
3984,"cracker-jack","sativa","4.2"
3985,"crazy-miss-hyde","hybrid","4.9"
3986,"cream-caramel","indica","4.2"
3987,"critical-bilbo","hybrid","4.4"
3988,"critical-cheese","hybrid","4.2"
3989,"critical-haze","hybrid","4.3"
3990,"critical-hog","indica","4.2"
3991,"critical-jack","hybrid","4.4"
3992,"critical-kali-mist","sativa","4.6"
3993,"critical-kush","indica","4.5"
3994,"critical-mass","indica","4.3"
3995,"critical-sensi-star","indica","4.2"
3996,"critical-skunk","hybrid","4.5"
3997,"critical-widow","hybrid","4.3"
3998,"critters-cookies","hybrid","3.5"
3999,"cronuts","hybrid","4.7"
4000,"crosswalker","indica","4.4"
4001,"crouching-tiger-hidden-alien","indica","4.8"
4002,"crown-og","indica","4.7"
4003,"crown-royale","indica","4.7"
4004,"crypt","hybrid","4.4"
4005,"crystal-coma","sativa","4.6"
4006,"crystal-gayle","hybrid","4.4"
4007,"crystalberry","indica","4.5"
4008,"cuvee","indica","4.5"
4009,"dj-andy-williams","sativa","5"
4010,"dj-short-blueberry","indica","4.4"
4011,"dairy-queen","hybrid","4.4"
4012,"dakini-kush","indica","4.5"
4013,"damn-sour","sativa","4"
4014,"damnesia","hybrid","4.2"
4015,"dance-world","sativa","4.6"
4016,"dancehall","hybrid","4.6"
4017,"dank-schrader","indica","4.9"
4018,"dank-sinatra","hybrid","5"
4019,"double-d","indica","4.3"
4020,"dark-side-of-the-moon","indica","4.6"
4021,"dark-star","indica","4.4"
4022,"darkside-og","indica","4.6"
4023,"darth-vader-og","indica","4.4"
4024,"deadhead-og","hybrid","4.4"
4025,"deadwood","indica","3.9"
4026,"death-bubba","indica","4.7"
4027,"death-star","indica","4.6"
4028,"deathstar-og","indica","4.6"
4029,"deep-cheese","hybrid","4.3"
4030,"deep-chunk","indica","4.3"
4031,"deep-purple","indica","3.9"
4032,"deep-sleep","indica","4.5"
4033,"delahaze","sativa","4.5"
4034,"denver-maple","indica","4.4"
4035,"destroyer","sativa","4.9"
4036,"devil-fruit","indica","4.4"
4037,"diablo","indica","4.1"
4038,"diablo","indica","4.1"
4039,"diamond-og","indica","4.5"
4040,"diesel-duff","hybrid","3.8"
4041,"digweed","indica","3.9"
4042,"dinachem","hybrid","4.7"
4043,"dirty-girl","sativa","4.5"
4044,"dirty-old-bastard","indica","5"
4045,"dizzy-og","hybrid","5"
4046,"django","sativa","4.6"
4047,"do-si-dos","indica","4.8"
4048,"do-si-dos","indica","4.8"
4049,"doctor-doctor","sativa","5"
4050,"dogwalker-og","hybrid","4.7"
4051,"dolla-sign-og-kush","indica","5"
4052,"domino","indica","4"
4053,"donna-og","hybrid","4.6"
4054,"doox","sativa","4.4"
4055,"dorit","indica","4.4"
4056,"double-diesel","sativa","4.2"
4057,"double-dream","hybrid","4.5"
4058,"double-dutch","hybrid","4.3"
4059,"double-mint","indica","5"
4060,"double-og","indica","4.6"
4061,"double-purple-doja","indica","4.7"
4062,"double-tangie-banana","hybrid","4.4"
4063,"double-tap","indica","5"
4064,"dream-beaver","sativa","4.7"
4065,"dream-berry","indica","4.5"
4066,"dream-lotus","hybrid","4.3"
4067,"dream-queen","hybrid","4.3"
4068,"dream-star","hybrid","4.8"
4069,"drizella","sativa","4.8"
4070,"duke-nukem","hybrid","4.4"
4071,"durban-berry","hybrid","4.6"
4072,"durban-cheese","hybrid","4.2"
4073,"durban-cookies","sativa","4.5"
4074,"durban-poison","sativa","4.4"
4075,"durga-mata","indica","4.9"
4076,"dutch-crunch","hybrid","4.2"
4077,"dutch-dragon","sativa","4.5"
4078,"dutch-hawaiian","sativa","4.3"
4079,"dutch-haze","sativa","4"
4080,"dutch-kush","indica","3.9"
4081,"dutch-queen","hybrid","4.4"
4082,"dutch-treat","hybrid","4.3"
4083,"dynamite","indica","4.4"
4084,"early-girl","indica","3.8"
4085,"early-pearl","sativa","3.9"
4086,"early-skunk","hybrid","4.1"
4087,"earth-og","hybrid","4.2"
4088,"earthquake","hybrid","4.5"
4089,"east-coast-alien","sativa","4.4"
4090,"east-coast-sour-diesel","sativa","4.3"
4091,"eastern-european","indica","5"
4092,"easy-bud","hybrid","4.7"
4093,"ecto-cooler","hybrid","4.4"
4094,"ed-rosenthal-super-bud","hybrid","4.3"
4095,"edelweiss","indica","4.1"
4096,"el-chapo-og","indica","4.7"
4097,"el-jeffe","indica","4.7"
4098,"el-nino","hybrid","3.8"
4099,"el-na","hybrid","5"
4100,"elderberry-kush","hybrid","4.1"
4101,"electric-black-mamba","indica","5"
4102,"electric-lemon-g","sativa","4.2"
4103,"elephant","sativa","4"
4104,"elphinstone","sativa","4.5"
4105,"elvis","hybrid","4.6"
4106,"emerald-jack","sativa","4.4"
4107,"emerald-og","indica","4.7"
4108,"enemy-of-the-state","indica","4.1"
4109,"enigma","indica","4.6"
4110,"eran-almog","indica","4.3"
4111,"erdpurt","indica","0"
4112,"erez","indica","4.3"
4113,"ether","indica","3.5"
4114,"euphoria","sativa","4.3"
4115,"eugene-cream","hybrid","4.6"
4116,"everlast","indica","4.6"
4117,"ewok","hybrid","4.6"
4118,"exodus-cheese","hybrid","4.3"
4119,"extreme-cream","indica","4.8"
4120,"extreme-og","indica","4.9"
4121,"face-off-og","indica","4.8"
4122,"fallen-angel","indica","5"
4123,"fat-purple","indica","4.7"
4124,"faygo-red-pop","indica","4.8"
4125,"fighting-buddha","sativa","5"
4126,"fire-alien-kush","hybrid","4.5"
4127,"fire-alien-strawberry","hybrid","4"
4128,"fire-haze","sativa","4.2"
4129,"fire-og","hybrid","4.4"
4130,"firewalker-og","sativa","4.3"
4131,"first-48","hybrid","4"
4132,"flaming-cookies","indica","4.2"
4133,"flo","hybrid","4.2"
4134,"flo-limone","sativa","4.8"
4135,"flo-og","indica","4.6"
4136,"flo-og","indica","4.6"
4137,"flowerbomb-kush","indica","4.6"
4138,"fortune-cookies","hybrid","4.6"
4139,"four-way","indica","5"
4140,"four-way","indica","5"
4141,"frankenstein","indica","4.4"
4142,"freezeland","indica","3.6"
4143,"frida","indica","4.9"
4144,"frisian-dew","hybrid","4.2"
4145,"frisian-duck","hybrid","4.4"
4146,"frostbite","sativa","4.3"
4147,"frosty","indica","4.4"
4148,"fruit-punch","sativa","4.6"
4149,"fruity-chronic-juice","indica","4.2"
4150,"fruity-pebbles","hybrid","4.4"
4151,"fruitylicious","indica","4"
4152,"fucking-incredible","indica","4.3"
4153,"full-moon","sativa","4.9"
4154,"funfetti","hybrid","4.8"
4155,"funky-monkey","indica","4.4"
4156,"future","hybrid","4.8"
4157,"g-force","indica","5"
4158,"g-force","indica","5"
4159,"g-13","indica","4.4"
4160,"g13-diesel","hybrid","4.8"
4161,"g13-haze","hybrid","4.4"
4162,"g13-widow","hybrid","4.8"
4163,"griz-kush","hybrid","4.5"
4164,"galactic-jack","sativa","4.6"
4165,"game-changer","hybrid","4.5"
4166,"gandalf-og","indica","4.9"
4167,"garlic-bud","indica","4.1"
